user_id,age,country
8,24.0,canada
11400,49.0,canada
11676,46.0,usa
67544,30.0,canada
85526,36.0,canada
96054,29.0,canada
116866,48.0,canada
123629,20.0,canada
177458,29.0,canada
200273,32.0,canada
210926,37.0,canada
219008,60.0,canada
263325,27.0,canada
2954,71.0,usa
152827,40.0,canada
35704,53.0,usa
83160,65.0,usa
110912,36.0,usa
137688,46.0,usa
157969,30.0,usa
192665,47.0,usa
197659,49.0,usa
208059,53.0,usa
209163,27.0,usa
29526,26.0,usa
36836,56.0,usa
46398,37.0,usa
49300,34.0,usa
49635,28.0,usa
67958,39.0,usa
113270,25.0,usa
113519,43.0,usa
115097,27.0,usa
136509,31.0,usa
148712,23.0,usa
178269,46.0,usa
180297,41.0,usa
188589,20.0,malaysia
194722,25.0,usa
198013,15.0,usa
200674,58.0,usa
207148,42.0,usa
211919,38.0,usa
212449,41.0,usa
213191,25.0,usa
230522,52.0,usa
236322,31.0,usa
238557,21.0,malaysia
242247,42.0,usa
245827,43.0,usa
248583,32.0,canada
252282,42.0,usa
252921,22.0,usa
255661,34.0,usa
52614,33.0,usa
225910,19.0,usa
274634,33.0,usa
98499,47.0,canada
166596,57.0,canada
189238,27.0,newzealand
223066,51.0,canada
92861,34.0,canada
3363,29.0,usa
61501,34.0,canada
148514,35.0,usa
174304,26.0,usa
177090,37.0,usa
256233,24.0,usa
263256,21.0,usa
176875,31.0,finland
213915,29.0,unitedkingdom
35826,35.0,usa
226745,38.0,usa
9,43.0,usa
243,43.0,usa
388,35.0,usa
2977,25.0,usa
3329,48.0,usa
6795,31.0,usa
7346,49.0,usa
7352,53.0,usa
9419,45.0,usa
9747,27.0,usa
9856,22.0,usa
11224,51.0,usa
12685,23.0,usa
12923,39.0,usa
13552,32.0,usa
13582,29.0,portugal
14521,30.0,usa
16666,44.0,usa
16795,47.0,usa
17761,47.0,usa
19445,34.0,usa
20435,62.0,usa
20462,13.0,usa
20801,29.0,brazil
20916,43.0,usa
21264,31.0,usa
23511,56.0,usa
23768,45.0,usa
26240,30.0,usa
26544,37.0,usa
26593,14.0,usa
27684,32.0,usa
28123,34.0,usa
28619,22.0,usa
29654,42.0,germany
30487,40.0,usa
30533,55.0,usa
31299,74.0,usa
31315,34.0,usa
31556,51.0,usa
31560,36.0,usa
31694,43.0,usa
32516,44.0,usa
35857,36.0,usa
35859,45.0,usa
36606,39.0,usa
37874,43.0,usa
38718,22.0,usa
38991,68.0,usa
39345,47.0,usa
39646,35.0,usa
40889,37.0,usa
41781,54.0,usa
44663,30.0,malaysia
45585,55.0,usa
46389,55.0,usa
46767,24.0,germany
47971,40.0,canada
48268,18.0,austria
48911,57.0,france
49168,57.0,usa
49994,40.0,usa
52584,45.0,usa
52994,30.0,usa
54005,59.0,usa
54884,33.0,usa
55027,44.0,usa
55492,43.0,usa
57108,38.0,usa
57423,43.0,usa
57632,33.0,usa
59038,28.0,usa
59390,35.0,usa
60130,41.0,usa
60569,41.0,usa
60683,47.0,usa
62667,53.0,usa
62881,39.0,usa
63470,56.0,usa
64535,43.0,usa
64679,38.0,usa
66387,52.0,usa
67487,33.0,australia
68256,28.0,usa
68537,70.0,usa
69232,55.0,usa
70205,25.0,usa
70666,18.0,usa
72523,27.0,usa
72975,21.0,usa
74709,21.0,usa
75691,17.0,usa
75819,37.0,usa
76352,58.0,usa
76368,54.0,canada
76942,25.0,usa
78165,28.0,italy
78754,37.0,usa
78834,28.0,usa
78973,29.0,portugal
79186,37.0,usa
79740,24.0,usa
80810,33.0,usa
81088,18.0,unitedkingdom
81298,20.0,usa
82114,47.0,usa
82893,40.0,usa
83034,13.0,usa
84024,37.0,usa
84611,29.0,usa
85534,49.0,usa
86303,31.0,usa
86969,59.0,usa
87257,30.0,usa
87929,25.0,usa
88006,27.0,usa
90322,25.0,usa
91633,21.0,usa
91832,24.0,usa
93055,32.0,usa
93363,30.0,usa
93643,46.0,usa
93772,51.0,usa
93800,52.0,usa
94139,55.0,usa
94396,62.0,usa
97721,46.0,usa
98012,48.0,usa
98468,33.0,usa
98723,29.0,usa
98923,34.0,usa
100009,49.0,canada
100393,35.0,usa
101209,44.0,usa
102647,14.0,usa
102967,54.0,usa
103315,32.0,usa
103416,33.0,usa
105124,17.0,usa
105937,27.0,usa
105979,26.0,usa
106230,54.0,usa
107201,38.0,usa
107244,50.0,usa
107784,22.0,usa
108143,17.0,usa
108247,27.0,usa
110127,44.0,usa
110440,29.0,usa
110558,34.0,usa
110973,43.0,usa
112001,43.0,usa
112093,35.0,usa
112280,50.0,usa
113328,51.0,usa
114544,35.0,usa
115003,43.0,usa
115120,29.0,usa
116127,44.0,canada
116428,47.0,canada
117594,26.0,usa
118659,37.0,usa
120396,46.0,usa
120771,49.0,usa
122251,30.0,usa
122440,29.0,canada
122658,31.0,usa
123137,34.0,usa
123430,38.0,usa
123790,25.0,usa
123981,46.0,usa
124259,44.0,usa
124363,36.0,usa
124487,32.0,usa
125039,27.0,usa
125519,40.0,usa
126492,31.0,usa
127200,41.0,usa
128185,39.0,usa
128208,34.0,usa
128463,19.0,usa
129084,39.0,usa
130784,35.0,usa
131046,26.0,usa
131681,48.0,usa
131703,54.0,usa
131837,59.0,usa
132144,23.0,usa
133706,30.0,australia
133738,28.0,usa
134264,17.0,usa
134797,21.0,usa
134863,24.0,usa
135149,51.0,usa
135831,24.0,usa
136096,47.0,usa
136396,34.0,usa
136707,50.0,usa
137589,35.0,usa
140824,53.0,germany
141444,27.0,usa
